Legislation,Offence
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 147(1),Employing a child in contravention of Article 135 or regulations made under Article 136
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 147(4),Offences relating to licences applied for and issued under this Part (Employment of Children)
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 147(8),Child who engages in street trading in contravention of Article 135(4)
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 147(9),Intentional obstruction of an Education and Library Board officer or constable when exercising powers under Article 146
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 150,Obstructing another in the exercise of power to inspect
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 170,Contravention of this article (privacy for children in certain proceedings)
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 175(4),Carrying on a home or hospital without complying with this article
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 175(6),Intentional obstruction of power of entry to establish this article being complied with
CHILDREN (NORTHERN IRELAND) ORDER 1995 ARTICLE 176(8),Intentional obstruction of the exercise of any power conferred by this Article
CHILDREN (NORTHERN IRELAND) ORDER 1995 SCH 1 PARAGRAPH 4,Failure to give notice of the cessation of an order for periodical payments
CHILDREN (NORTHERN IRELAND) ORDER 1995 SCH 1 PARAGRAPH 7,Failure to give notice of the cessation of an order under this paragraph  for periodical payments
CHILDREN (NORTHERN IRELAND) ORDER 1995 SCH 1 PARAGRAPH 14,Failure to give notice of change of address
CHILDREN (NORTHERN IRELAND) ORDER 1995 SCH 4 PARAGRAPH 8,Failure to comply with an education supervision order
"CIVIC GOVERNMENT (SCOTLAND) ACT 1982, S52",Indecent photographs etc. Of children
"CIVIC GOVERNMENT (SCOTLAND) ACT 1982, S52A",Possession of indecent photographs of children
COMMON LAW  (COML),Abducting girl under 18 with intention to marry
COMMON LAW  (COML) IN SCOTLAND,Plagium (theft of a child below the age of puberty)
COMMON LAW  (COML),Abducting girl under 18 
COMMON LAW  (COML),Breach of peace
COMMON LAW  (COML),Going armed so as to terrify the public
COMMON LAW  (COML),Riot/incipient riot
COMMON LAW  (COML),Indecency - outraging public decency
COMMON LAW  (COML),Kidnapping
COMMON LAW  (COML),False imprisonment
COMMON LAW  (COML),Murder 
COMMON LAW  (COML),Manslaughter
COMMON LAW  (COML),Rape 
COMMON LAW  (COML),Publishing /exhibiting/selling indecent/obscene things
COMMON LAW  (COML),Affray 
COMMON LAW  (COML),Unlawful assembly
COMMON LAW,"Infanticide, common law England & Wales"
COMMON LAW,"Infanticide, common law Northern Ireland"
COMMON LAW,"Sodomy, common law Scotland"
COMMON LAW,"Indecent assault, common law Scotland"
COMMON LAW,"Clandestine Injury to Child, Common Law Scotland"
COMMON LAW,"Abduction with intent to Rape, Common Law Scotland"
COMMON LAW,"Assault with Intent to Rape, Common Law Scotland"
COMMON LAW,"Lewd, Indecent, or Libidinous Behaviour, Common Law Scotland"
CORONERS AND JUSTICE ACT 2009 S.62(1),Possess prohibited images of children
CORONERS AND JUSTICE ACT 2009 S. 71(1)(A),Hold another person in slavery
CORONERS AND JUSTICE ACT 2009 S.71(1)(A),Hold another person in servitude
CORONERS AND JUSTICE ACT 2009 S 71(1)(B),Require another person to perform forced labour
CORONERS AND JUSTICE ACT 2009 S. 71(1)(B),Require another person to perform compulsory labour
CRIMINAL ATTEMPTS AND CONSPIRACY (NI) ORDER 1983 ART 5,Attempt to commit an offence
CRIMINAL ATTEMPTS AND CONSPIRACY (NI) ORDER 1983 ART 9 OR 9A,Conspiracy 
CRIMINAL DAMAGE (NORTHERN IRELAND) ORDER 1977 ARTICLE 3(1),Destroying or damaging property 
CRIMINAL DAMAGE (NORTHERN IRELAND) ORDER 1977 ARTICLE 3(1)(3),Arson - destroying  or damaging property by fire
CRIMINAL DAMAGE (NORTHERN IRELAND) ORDER 1977 ARTICLE 3(2),Destroying or damaging property with intention to endanger life 
CRIMINAL DAMAGE (NORTHERN IRELAND) ORDER 1977 ARTICLE 3(2)(3),Arson with intention to endanger life
CRIMINAL DAMAGE (NORTHERN IRELAND) ORDER 1977 ARTICLE 4,Threats to damage property
CRIMINAL DAMAGE (NORTHERN IRELAND) ORDER 1977 ARTICLE 5,Possessing things with intent to damage
CRIMINAL DAMAGE (COMPENSATION) (NI) ORDER 1977 ARTICLE 19,"Deception, false statement to get compensation"
CRIMINAL INJURIES COMPENSATION (NI) ORDER 2002 ART 17,"Deception, false statement to get compensation"
CRIMINAL JURISDICTION ACT 1975 S. 2(1)(A),Hijacking of vehicles - person in NI or Republic of Ireland unlawfully by force/threat of force/any form of intimidation seizes/exercises control of/interferes with control of any vehicle or railway train/vehicle/stock
CRIMINAL JURISDICTION ACT 1975 S. 2(1)(B),Hijacking of ships - person in NI or Republic of Ireland unlawfully by force/threat of force/any form of intimidation compels/induces another person to use a vessel/ship/hovercraft for an unlawful purpose 
CRIMINAL JUSTICE (MISC PROVISIONS) ACT (NI) 1968 SECT 7(1)(B),Assault with intent to resist arrest
CRIMINAL JUSTICE ACT 1988 (CJ88) S.134,Torture by a public official or a person acting in an official capacity
CRIMINAL JUSTICE ACT 1988 S.139,Possession of bladed or pointed article in public
CRIMINAL JUSTICE ACT 1988 S.139A(1),Possession of bladed or pointed article on school premises
CRIMINAL JUSTICE ACT 1988 S.139A(2),Having offensive weapon on school premises
CRIMINAL JUSTICE ACT 1988 S.141,"Making, supplying prohibited weapon"
CRIMINAL JUSTICE ACT 1988 S.160,Possession of indecent photographs of children
CRIMINAL JUSTICE ACT (NORTHERN IRELAND) 1966 S.13(1) TO 13(1C),Aid/abet/counsel/procure the suicide of another/an attempt by another to commit suicide
CRIMINAL JUSTICE ACT (NORTHERN IRELAND) 1945 SECTION. 25,Child destruction ( of baby in womb)
CRIMINAL JUSTICE ACT (NORTHERN IRELAND) 1945 SECTION. 26,Procuring abortion of child in womb
CRIMINAL JUSTICE ACT (NORTHERN IRELAND) 1966 S.13A,Arrange for a person to do an act that is capable of encouraging/assisting the suicide/attempted suicide of another person
CRIMINAL JUSTICE ACT (NORTHERN IRELAND) 1966 S.13B,Course of conduct - acts done under Sections 13 and 13a  include a course of conduct
CRIMINAL JUSTICE (SCOTLAND) ACT 1980 S80(7),Homosexual offence where the person with whom the act was committed or whom the person committing the offence procured or attempted to procure to commit the act was under the age of 16 or was not willing to participate in the act
CRIMINAL JUSTICE (SCOTLAND) ACT 2003 S.22,Traffic in prostitution etc.
"CRIMINAL JUSTICE (EVIDENCE, ETC) (NORTHERN IRELAND) ORDER 1988 ARTICLE 15",Possessing an indecent photograph or pseudo-photograph of a child
CRIMINAL JUSTICE AND COURT SERVICES ACT 2000 (CJ00) S.35(2)(A),Offers work to/procures work for a person disqualified from working with children in a regulated position
CRIMINAL JUSTICE AND COURT SERVICES ACT 2000 (CJ00) S.35(2)(B),Fail to remove disqualified person from working with children in a regulated position
CRIMINAL JUSTICE AND IMMIGRATION ACT 2008 (CJ08) S.63(1)(7)(A),Possession of extreme pornographic images - an act which threatens persons life
CRIMINAL JUSTICE AND IMMIGRATION ACT 2008 (CJ08) S.63(1)(7)(B),Possession extreme pornographic images - act result/likely to result in serious injury anus/breasts/genitals
CRIMINAL JUSTICE AND IMMIGRATION ACT 2008 (CJ08) S.63(1)(7)(C),Possession of extreme pornographic images - act involves sexual intercourse with a corpse
CRIMINAL JUSTICE AND IMMIGRATION ACT 2008 (CJ08) S.63(1)(7)(D),Possession of extreme pornographic images - of intercourse/oral sex with dead /alive animal
CRIMINAL JUSTICE AND IMMIGRATION ACT 2008 (CJ08) S.63(1)(7),Possession of Pornographic Images of Rape and Assault by Penetration
CRIMINAL JUSTICE (INTERNATIONAL COOPERATION ) ACT 1990 S.12,Making or supplying a substance for drugs
CRIMINAL JUSTICE (INTERNATIONAL COOPERATION ) ACT 1990 S.18,Drug trafficking on a British ship
CRIMINAL JUSTICE (INTERNATIONAL COOPERATION ) ACT 1990 S.19,Possessing drug on a ship
CRIMINAL JUSTICE (NORTHERN IRELAND) ORDER 1980 ARTICLE.9,Inciting girl under 16 to commit incest ( offence until 2 February 2009)
CRIMINAL JUSTICE (NI) ORDER 1996 ART.53,"Making, selling ""flick knife"" or ""gravity knife"""
CRIMINAL JUSTICE (NI) ORDER 1996 ART.54,"Selling knife, blade, axe or pointed article to person under 16"
CRIMINAL JUSTICE (NORTHERN IRELAND) ORDER 2003 ARTICLE.19,Buggery or attempted buggery  
CRIMINAL JUSTICE (NORTHERN IRELAND) ORDER 2003 ARTICLE.20,Person assaults another person with intent to commit buggery
CRIMINAL JUSTICE (NORTHERN IRELAND) ORDER 2003 ARTICLE.21,Person makes an indecent assault on a male
CRIMINAL JUSTICE (NO.2) (NORTHERN IRELAND) ORDER 2004 ARTICLE 2,An offence stated by the court to be aggravated by hostility
CRIMINAL JUSTICE (NORTHERN IRELAND) ORDER 2008 AN OFFENCE UNDER SCH 1 OR 2,Schedule 1 - serious offences; schedule 2 - specified violent and sexual offences
CRIMINAL LAW ACT 1977 S.54,Inciting a girl under 16 to have incestuous sexual intercourse
CRIMINAL LAW AMENDMENT ACT 1885 (CL85) S.2,Procure or attempting to procure  any woman or any girl or woman under the age of 21  for unlawful carnal knowledge or to become a common prostitute or work in a brothel inside or outside the UK
CRIMINAL LAW AMENDMENT ACT 1885 S.3(1),Procuring or attempting to procure the defilement of a woman or girl for unlawful carnal knowledge by threats or intimidation
CRIMINAL LAW AMENDMENT ACT 1885 S.3(2),Procuring or attempting to procure the defilement of a woman or girl for unlawful carnal knowledge by false pretences or false representations
CRIMINAL LAW AMENDMENT ACT 1885 S.3(3),"Procuring or attempting to procure the defilement of a woman or girl by administering any drug, matter or thing with intent to stupefy or overpower her "
CRIMINAL LAW AMENDMENT ACT 1885 S. 4,Unlawful carnal knowledge of a girl under the age of 13
CRIMINAL LAW AMENDMENT ACT 1885 (CL85) S.5(1),Unlawful carnal knowledge of a girl above the age of 13 and under the age of 17 
CRIMINAL LAW AMENDMENT ACT 1885 (CL85) S.5(2),Unlawful carnal knowledge of a female idiot or imbecile woman or girl
CRIMINAL LAW AMENDMENT ACT 1885 S.6(1),Owner or occupier of premises having  or acting/assisting in the management or control of premises inducing or knowingly suffering a girl under the age of 13  to be on the premises for unlawful carnal knowledge
CRIMINAL LAW AMENDMENT ACT 1885 S.6(2),Owner or occupier of premises having  or acting/assisting in the management or control of premises inducing or knowingly suffering a girl above the age of 13 and under the age of 17  to be on the premises for unlawful carnal knowledge
CRIMINAL LAW AMENDMENT ACT 1885 S.7,Abduction of unmarried girl under the age of 18 with intent to have carnal knowledge
CRIMINAL LAW AMENDMENT ACT 1885 S.8(1),Unlawful detention  of a woman or girl against her will in premises  with intent to have carnal knowledge
CRIMINAL LAW AMENDMENT ACT 1885 S.8(2),Unlawful detention  of a woman or girl against her will in  a brothel with intent to have carnal knowledge
CRIMINAL LAW AMENDMENT ACT 1885 S.11,"Outrages on decency between males in private or in public - commits party to the commission of, procures or attempts to procure the commission of an act of gross indecency where the person with whom the offence was committed or against whom it was committed was under the age of 16, where the offence was committed in England and Wales, or under the age of 17, where the offence was committed in Northern Ireland, or did not consent to the act, in either case"
CRIMINAL LAW AMENDMENT ACT 1885 S. 13(1) ,Keeping or managing  or acting or assisting in the management of a brothel
CRIMINAL LAW AMENDMENT ACT 1885 S.13(2),"Tenant, lessee or occupier  of premises permitting the use of such premises as a brothel or for habitual prostitution"
CRIMINAL LAW AMENDMENT ACT 1885 S.13(3),Lessor /landlord/their agent knowingly allowing the use of premises as a brothel
CRIMINAL LAW ACT (NI) 1967 S.5(1),Impeding apprehension or failing to give information re a 5 yr+ offence
CRIMINAL LAW (AMENDMENT) (NORTHERN IRELAND) ORDER 1977 ARTICLE .3(1),Bomb hoaxes - placing in any place or dispatching an article to induce a person to believe it is likely to explode or ignite
CRIMINAL LAW (AMENDMENT) (NORTHERN IRELAND) ORDER 1977 ARTICLE .3(2),Bomb hoaxes - communicating information knowing or believing it to be false to induce a person a false belief that a bomb or other thing is likely to explode or ignite
CRIMINAL LAW (CONSOLIDATION)(SCOTLAND) ACT 1995 S.3,Intercourse of a person in a position of trust with child under 16
CRIMINAL LAW (CONSOLIDATION)(SCOTLAND) ACT 1995 S.5,Intercourse with a girl under 16
CRIMINAL LAW (CONSOLIDATION)(SCOTLAND) ACT 1995 S.6,Indecent behaviour towards girl between 12 & 16
CRIMINAL LAW (CONSOLIDATION)(SCOTLAND) ACT 1995 S.7,Procuring
CRIMINAL LAW (CONSOLIDATION)(SCOTLAND) ACT 1995 S.8,Abduction and unlawful detention
CRIMINAL LAW (CONSOLIDATION)(SCOTLAND) ACT 1995 S.9,Permitting girl to use premises for intercourse
CRIMINAL LAW (CONSOLIDATION)(SCOTLAND) ACT 1995 S.10,"Seduction, prostitution, etc, of girl under 16"
CRIMINAL LAW (CONSOLIDATION)(SCOTLAND) ACT 1995 S.11,Trading in prostitution and brothel-keeping
CRIMINAL LAW (CONSOLIDATION) (SCOTLAND) ACT 1995 S13,Living on earnings or another from male prostitution - at least one other person involved (whether in the offence of the homosexual act) was under the age of 16 or not a willing participant
BY VIRTUE OF SCH 1 OF THE CRIMINAL PROCEDURE (SCOTLAND) ACT 1975 REFERRED TO IN SCHEDULE TO THE  DISQUALIFICATION FOR CARING FOR CHILDREN REGULATIONS (NORTHERN IRELAND) 1996 ,Any other offence involving bodily injury to a child under the age of 17 years.
BY VIRTUE OF SCH 1 OF THE CRIMINAL PROCEDURE (SCOTLAND) ACT 1975 REFERRED TO IN SCHEDULE TO THE  DISQUALIFICATION FOR CARING FOR CHILDREN REGULATIONS (NORTHERN IRELAND) 1996 ,"Any offence involving the use of lewd, indecent or libidinous practice or behaviour towards a child under the age of 17 years"
CROSSBOWS (NI) ORDER 1988 ART 3,"Selling, hiring crossbow to juvenile"
CROSSBOWS (NI) ORDER 1988 ARTS 4-5,"Juvenile buying, hiring, possessing"
CUSTOMS AND EXCISE MANAGEMENT ACT 1979 (CE79) S.170(1)(A)(III),Knowingly acquire goods importation of which is prohibited or restricted (other than controlled drug)
CUSTOMS AND EXCISE MANAGEMENT ACT 1979 (CE79) S.170(1)(A)(III),Knowingly acquire goods exportation of which is prohibited or restricted (other than controlled drug)
CUSTOMS AND EXCISE MANAGEMENT ACT 1979 (CE79) S.50(2)(A),Improper importation of indecent or obscene articles
SCHEDULE TO THE DISQUALIFICATION FOR CARING FOR CHILDREN REGULATIONS (NORTHERN IRELAND) 1996,Offences which disqualify persons from private fostering and registering under Article 118 of the Order
BY VIRTUE OF PARAGRAPH (2) OF SCHEDULE TO THE DISQUALIFICATION FOR CARING FOR CHILDREN REGULATIONS (NORTHERN IRELAND) 1996,Any offence involving injury or threat of injury to another person
DOMESTIC VIOLENCE CRIME AND VICTIMS ACT 2004 (DV04) S.5,Cause/allow death of child/vulnerable person
EXPLOSIVE SUBSTANCES ACT 1883 (EX83) S.2,Causing explosion likely to endanger life or property
EXPLOSIVE SUBSTANCES ACT 1883 (EX83) S.3(1)(A),Doing an act with intent to cause explosion likely to endanger life or property
EXPLOSIVE SUBSTANCES ACT 1883 (EX83) S.3(1)(B),Possess / control an explosive substance with intent to endanger life or property
EXPLOSIVE SUBSTANCES ACT 1883 S.4,Making/possessing explosives under suspicious circumstances
EXPLOSIVE SUBSTANCES ACT 1883 S.5,"Procuring/counselling/aiding/abetting or accessory to the commission of an offence under Section 2, 3 or 4"
FEMALE GENITAL MUTILATION ACT 2003 (FG03) S.1(1),Excise infibulate or otherwise mutilate the whole or any part of labia majora labia minora or clitoris
FEMALE GENITAL MUTILATION ACT 2003 (FG03) S.2,Aid/abet/counsel/procure girl excise infibulate mutilate whole/part labia majora labia minora or clitoris
FEMALE GENITAL MUTILATION ACT 2003 (FG03) S.3,Aid/abet/counsel/procure non UK person who is not UK resident to do act of female genital mutilation o/s UK
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 3(1)(A),Possession of handgun without certificate
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 3(1)(B),Possession of sawn-off shotgun or converted firearm without certificate
"FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 3(1)(B),(2)",Possession of other firearm/ ammunition without certificate
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 24,"Making, selling etc. firearm or ammunition without firearms dealer's certificate"
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 37,"Dealing with, selling firearm or ammunition /false certificate"
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLES 39 AND 40,Transfer a firearm without showing a certificate; or notifying the chief constable
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLES 41 AND 42,Failing to notify loss/destruction of firearm or ammunition 
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 45(1),"Dealing in (including possession, purchase, acquisition, manufacture, sale or transfer) automatic, explosive, rocket-launching etc weapons"
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 45(1)(F),"Dealing in (including possession, purchase, acquisition, manufacture, sale or transfer) electric, noxious material weapons"
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 45(2)(A),Dealing in firearm which is disguised as another object
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 45(2) ,Dealing in other prohibited weapons
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 58(1),"Possessing firearm or ammunition with intent to endanger life, cause serious damage to property or enable any other person to endanger life or cause serious damage to property"
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 58(2),Possession of firearm/imitation firearm with intent to cause or enable any other person to cause any person to believe that unlawful violence will be used against him or another person
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 59(1),Using firearm/imitation firearm to resist arrest
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 59(2),Using firearm/imitation firearm to commit offence
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE.60(1),Having firearm/imitation firearm with intent to commit indictable offence
FIREARMS (NORTHERN IRELAND) ORDER 2004 ARTICLE. 61(1),"Carrying loaded shotgun  or any other firearm ( including automatic handgun, explosives or rocket launchers) in public"
FIREARMS (NORTHERN IRELAND ) ORDER 2004 ARTICLE. 62(1),"Trespass with firearm(or imitation) (includes handgun or automatic, explosives or rocket launcher) in building"
FIREARMS (NORTHERN IRELAND ) ORDER 2004 ARTICLE. 63,"Possession by/sale to, convict"
FIREARMS (NORTHERN IRELAND ) ORDER 2004 ARTICLE. 64,Possession of a firearm or ammunition in suspicious circs
FIREARMS (NORTHERN IRELAND ) ORDER 2004 ARTICLE. 67(1),Shortening barrel of shotgun
FIREARMS (NORTHERN IRELAND ) ORDER 2004 ARTICLE. 67(3),Converting imitation into dischargeable firearm
"FOSTER CHILDREN (SCOTLAND) ACT 1984, S15",Offences relating to foster children
"FOSTER CHILDREN ACT 1980, S16",Offences relating to private fostering
HEALTH AND PERSONAL SOCIAL SERVICES (NORTHERN IRELAND) ORDER 1972 ARTICLE 50,Obstruction of exercise of power of inspection
"HEALTH AND PERSONAL SOCIAL SERVICES (QUALITY, IMPROVEMENT AND REGULATION) (NORTHERN IRELAND) ORDER 2003 ARTS 15(2)(A) TO (E).",Offences relating to cancelling the registration of a person in respect of an establishment or agency
"HEALTH AND PERSONAL SOCIAL SERVICES (QUALITY, IMPROVEMENT AND REGULATION) ORDER 2003 ART12 ",Carry on/manage establishment/agency not registered
" HEALTH AND PERSONAL SOCIAL SERVICES (QUALITY, IMPROVEMENT AND REGULATION) (NORTHERN IRELAND) ORDER 2003 ART 24 ",Failure to comply with condition in force for an establishment or agency
" HEALTH AND PERSONAL SOCIAL SERVICES (QUALITY, IMPROVEMENT AND REGULATION) (NORTHERN IRELAND) ORDER 2003 ART 25",Failure to comply with regulations made under this Part 
" HEALTH AND PERSONAL SOCIAL SERVICES (QUALITY, IMPROVEMENT AND REGULATION) (NORTHERN IRELAND) ORDER 2003 ART 26",False description proporting to be an establishment or agency without registration
" HEALTH AND PERSONAL SOCIAL SERVICES (QUALITY, IMPROVEMENT AND REGULATION) (NORTHERN IRELAND) ORDER 2003 ART 27",Making a false statement in an application for registration 
" HEALTH AND PERSONAL SOCIAL SERVICES (QUALITY, IMPROVEMENT AND REGULATION) (NORTHERN IRELAND) ORDER 2003 ART 28",Failure to display certificate of registration.
"HEALTH AND PERSONAL SOCIAL SERVICES (QUALITY, IMPROVEMENT AND REGULATION) (NORTHERN IRELAND) ORDER 2003 ART 42",Obstruction of exercise of request for information or failure to comply with a request for information
HIJACKING ACT 1971,Hijacks an aircraft - person on board an aircraft in flight unlawfully by force/threats seizes/exercises control of aircraft
HOMOSEXUAL OFFENCES (NORTHERN IRELAND) ORDER 1982 ARTICLE.7(1),A man procures another man to commit with a third man an act of buggery
HOMOSEXUAL OFFENCES (NORTHERN IRELAND) ORDER 1982 ARTICLE.8,A man knowingly lives wholly or in part on the earnings of prostitution of another man
HOMOSEXUAL OFFENCES (NORTHERN IRELAND) ORDER 1982 ARTICLE.8,A woman knowingly lives wholly or in part on the earnings of prostitution of another man
HUMAN MEDICINES REGULATIONS 2012 REG 255,Parenterally administer other than to self a prescription only medicine when not an appropriate practitioner
HUMAN TISSUE ACT 2004 S32 OR 33,Prohibition of commercial dealings in human material for transplantation; restriction on transplants involving a live donor
HUMAN ORGAN TRANSPLANTS (NORTHERN IRELAND) ORDER 1989 ARTS 3 AND 4,Prohibition of commercial dealings in human organs; restriction on transplants between persons not genetically related
INDECENCY WITH CHILDREN ACT 1960 S.1,Any person who commits an act of gross indecency with or towards a child under the age of 16 or who incites a child under that age to such an act with him or another
"INFANTICIDE ACT 1938, S1","Where a woman by any wilful act or omission causes the death of her child being a child under the age of 12 months, but at the time of the act or omission the balance of her mind was disturbed"
INFANTICIDE ACT (NORTHERN IRELAND) 1939 SECTION. 1,"Where a woman by any wilful act or omission causes the death of her child being a child under the age of 12 months, but at the time of the act or omission the balance of her mind was disturbed"
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Genocide
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Commit genocide
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Aid abet counsel or procure a war crime
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Incite a person to commit a war crime
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Conceal the commission of a war crime
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Commit a crime against humanity
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Commit a war crime
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Aid abet counsel or procure an act of genocide
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Incite a person to commit an act of genocide
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Conceal the commission of an act of genocide
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Aid abet counsel or procure a crime against humanity
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Incite a person to commit a crime against humanity
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.51,Conceal the commission of a crime against humanity
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.52,"Conduct ancillary to genocide, etc. Committed outside jurisdiction"
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.58,"Genocide, crime against humanity or war crime"
INTERNATIONAL CRIMINAL COURT ACT 2001 (IC01) S.59,"Conduct ancillary to genocide, etc. Committed outside jurisdiction"
JUSTICE AND SECURITY (NI) ACT 2007 S.27,Obstructing HM Forces examining document for terrorism information
JUSTICE AND SECURITY (NI) ACT 2007 SCH 3 PARA 8,"Failing to stay in one place, obstructing search for munitions"
JUSTICE AND SECURITY (NI) ACT 2007 SCH 4 PARA 12,Obtaining compensation by deception
JUSTICE ACT (NI) 2011 SECT 93,Possession of offensive weapon w/i to commit indictable offence
JUSTICE ACT (NI) 2015 SECT 71,"Failing to Comply with any VOPO Prohibition or Requirement, Failing to Comply with any VOPO Notification Requirements or Providing false information at notification of VOPO."
KNIVES ACT 1997 S.1,Marketing a knife for combat or violent use
KNIVES ACT 1997 S.2,Publishing matter about knives for combat or violent use
LANDMINES ACT 1998 S.2,Using and dealing in anti-personnel mines
MALICIOUS DAMAGE ACT 1861 S.35,Interfering with railway line w/i to  damage or obstruct train
MEDICINES ACT 1968 (MD68) S.7(2)(A),Unlawfully supplying a medicinal product 
MEDICINES ACT 1968 (MD68) S.52,Unlawfully supplying a medicinal product
MEDICINES ACT 1968 (MD68) S.58(2)(A),Supplying a prescription only medicinal product otherwise than in accordance with a prescription 
MEDICINES ACT 1968 (MD68) S.58(2)(B),Administering a medicinal product when not an appropriate practitioner
MEDICINES ACT 1968 (MD68) S.63(B),Supply an adulterated medicinal product
MEDICINES ACT 1968 (MD68) S.67,Supplying a medicinal product without authorisation
MEDICINES ACT 1968 (MD68) S.67(1A),Giving a prescription or directions or administering a medical product in contravention of the Act
MENTAL CAPACITY ACT 2005 S.44,Ill-treatment or neglect
MENTAL HEALTH ACT 1983 S.126,Forgery and making false statements
MENTAL HEALTH ACT 1983 S.127,Ill treatment of patients
MENTAL HEALTH ACT 1983 S.128,"Assisting patients to absent themselves without leave, etc"
MENTAL HEALTH ACT 1983 S.129,Obstruction
"MENTAL HEALTH ACT 1959, SECTION 128",Sexual intercourse with patients where offence committed against a child
MENTAL HEALTH (SCOTLAND) ACT 1984 S.105,Ill treatment of patients
MENTAL HEALTH (SCOTLAND) ACT 1984 S.106,Sexual Intercourse with protected person
MENTAL HEALTH (SCOTLAND) ACT 1984 S.107,Sexual Intercourse with mentally handicapped person
MENTAL HEALTH (SCOTLAND) ACT 1984 S.108,"Assisting patients to absent themselves without leave, etc"
MENTAL HEALTH (SCOTLAND) ACT 1984 S.109,Obstruction
MENTAL HEALTH ACT(NORTHERN IRELAND) 1961 SECTION. 98,Forgery of documents under mental health act
MENTAL HEALTH ACT (NORTHERN IRELAND) 1961 SECTION. 101,Unlawful sexual intercourse with mental patient by hospital staff (having/procuring/causing /encouraging)
MENTAL HEALTH ACT (NORTHERN IRELAND) 1961 SECTION. 101,Unlawful sexual intercourse with mental patient by guardian (having/procuring/causing/encouraging)
MENTAL HEALTH ACT (NORTHERN IRELAND) 1961 SECTION. 101,Gross indecency with mental patient by hospital staff (having/procuring/causing/encouraging)
MENTAL HEALTH ACT (NORTHERN IRELAND) 1961 SECTION. 101,Gross indecency with mental patient by guardian (having/procuring/causing/encouraging)
MENTAL HEALTH ACT (NORTHERN IRELAND) 1961 SECTION. 102(1),Assisting patients to absent themselves without leave or escape from mental institution
MENTAL HEALTH ACT  (NORTHERN IRELAND) 1961 SECTION. 102(2),Harbouring  patient absent without leave or otherwise at large from mental institution
MENTAL HEALTH ACT (NORTHERN IRELAND) 1961 SECTION. 130(1),"Obstruction - refusing to allow 1. Inspection of premises; 2. Visiting, interviewing or examination by authorised persons; or 3. Inspection of document or records"
MENTAL HEALTH ACT (NORTHERN IRELAND) 1961 SECTION. 130(2),Obstruction - insisting on remaining present during a private interview or examination when requested to withdraw by the authorised person  
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.93(1),Failing to comply with a requirement under this paragraph for a person carrying on a private hospital
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.94(2),Failure to deliver a cancelled certificate of registration of a private hospital to the Department
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.96(1),Carrying on a private hospital which is not registered
MENTAL HEALTH (NORTHERN IRELAND) ORDER 1986 ART.105(9),Disclosing any report or information in contravention of paragraph (8) 
